province,conflict index,Female Literacy Rate,Health - Institutional Delivery,Density Per Inhabited Area,Poverty Rate
Kabul,93.7,19.1,83.6,3508.2,34.3
Kapisa,69.5,4.3,84,1308.5,45.2
Parwan,86.1,12.4,70,1022.5,56.3
Maidan Wardak,53.9,26.5,59.4,474.9,60.4
Logar,37.2,21.8,62.6,625.4,39
Nangarhar,73,21.3,72.6,1054.7,50.7
Laghman,79.4,10.1,60.7,1053.5,76.5
Panjsher,100,11.5,74.1,952.2,25.1
Baghlan,73.2,18.1,49.8,626.7,31.2
Bamyan,80.6,10.8,79.7,410.9,61.3
Ghazni,29.1,1.1,61.2,474.5,42.6
Paktika,32.2,27,30,230.3,12.8
Paktya,42.4,15.5,59.2,644.9,73.7
Khost,57.4,40.8,66.2,645.5,29.7
Kunarha,71.3,2.7,61.9,721.3,61.8
Nooristan ,60.7,31.4,12.2,512.9,60.9
Badakhshan,52.5,5.2,42.7,698,81.5
Takhar,91.9,13.8,69,898.2,70.2
Kunduz,40.7,17.4,62.8,895.5,66.4
Samangan,91,12.2,59.6,639.1,88.2
Balkh,87.8,3.8,84.1,925.6,48.8
Sar-E-Pul,45.7,13.2,70.1,576.2,56.6
Ghor,45.5,20.4,52.6,429.9,60.5
Daykundi,69.3,11.6,50.5,241.8,90.2
Urozgan ,40.8,2.5,25.2,346.7,69.6
Zabul,26.4,7,60.9,290.5,81.4
Kandahar,51.1,31.9,57.3,399.8,80.7
Jawzjan,76.8,20.7,75.8,720.3,65.3
Faryab,60.9,12,76.6,655.5,55.8
Helmand,21.1,15.1,64.9,188.3,88.5
Badghis ,41.8,21.1,47.2,324,56.8
Herat,70.5,5.3,78,829.7,47.9
Farah,36.6,10.1,58.3,253.4,42.6
Nimroz,68.8,3.7,46.1,214.9,58.7
